"","control_rep2","exp_rep1","control_rep1","exp_rep2","control_rep3","exp_rep3"
"ENSG00000183010.17",12.8353149022466,12.7369955413694,12.7558355000564,12.7591502628792,12.8452082564907,12.957546895989
"ENSG00000235296.2",2.85957262415361,2.82246635830547,2.81775822633617,2.81095977353145,2.84762905556657,2.85102297640561
"ENSG00000185269.12",5.24606427377171,5.11288590668463,5.25269965426734,5.15773654313174,5.25966583154942,5.30477306258934
"ENSG00000169696.16",10.1719401890242,10.0342517008428,10.0660844429298,10.0302663755753,10.1751913907781,10.272835039704
"ENSG00000169689.15",11.1785708692302,11.1345585724378,11.0877670507523,11.1987660903409,11.1372752945503,11.4523308236328
"ENSG00000169683.8",10.5801767458445,10.4293146412933,10.4771927553283,10.3900646544327,10.5233391146792,10.6342642375054
"ENSG00000169750.9",12.0842018399143,11.9177944770094,11.9680879197748,11.9741713064057,12.0534027933217,12.2366570599328
"ENSG00000169738.8",11.5147769899776,11.2769527239813,11.3812229000116,11.2827472057634,11.4466008402541,11.6666458723407
"ENSG00000169733.12",10.4310185029191,10.3353806563595,10.2707714581306,10.3648338111331,10.3731991348122,10.686928623659
"ENSG00000169727.14",13.1743328869321,13.038820191702,13.0637335359058,13.0438082342858,13.1966561022539,13.3811267349556
"ENSG00000169718.18",12.2127038747628,12.1156501988202,12.1331538447344,12.1389118788086,12.2144749267565,12.3792000075421
"ENSG00000169710.9",16.2759522928757,16.1472900899454,16.1742715664582,16.0857969432159,16.2681908432077,16.3222643990325
"ENSG00000176155.21",9.55704263161998,9.46354075502872,9.5143011824942,9.58925534438823,9.45452727929655,9.3871743126251
"ENSG00000265678.1",4.13824814623454,4.14201735224568,4.0751973313215,4.14588068545492,4.16338887029329,4.08546431197526
"ENSG00000141526.18",11.1801398509196,10.8791087416985,11.2069805690834,11.1223137960956,11.2096304102011,11.3085513259942
"ENSG00000141551.15",13.4526242035881,13.4014419174451,13.4518045114765,13.4808791428984,13.4813032166003,13.4932350153209
"ENSG00000275888.1",3.83491650874254,3.84943789829438,3.81944205194628,3.85884563965186,3.84234608390677,3.84572693041793
"ENSG00000287737.3",5.20239469045276,5.23738421565761,5.23870716343241,5.25356887042991,5.24417354351004,5.19280338291374
"ENSG00000260563.3",5.4174399306664,5.45924131645761,5.5485481040134,5.54685325130326,5.53108974589404,5.50041496285737
"ENSG00000173762.8",7.25572437990408,7.33212282079176,7.23727615297828,7.28246190308229,7.29813015868132,7.39005589159108
"ENSG00000141574.8",5.19648235827136,5.14766365411438,5.22598669189962,5.231403492615,5.20129613841012,5.21406736468651
"ENSG00000182459.5",3.83464003244959,3.79475227261237,3.81863834219258,3.84735045329387,3.85468102922986,3.86053602112421
"ENSG00000181408.5",5.24487970418439,5.20105511793265,5.2360364272503,5.2043459191943,5.38835798782437,5.30965567822823
"ENSG00000181396.13",11.4019189211124,11.3636466032294,11.3488694956692,11.3501617087224,11.4441538386756,11.4458749820122
"ENSG00000169660.17",8.65484981094856,8.60772154395017,8.59570712215865,8.65152485885741,8.6894988414577,8.68510028312616
"ENSG00000178927.19",11.907525189855,11.8259711368003,11.8307205266065,11.8856658682294,11.8997356307252,12.0734461982753
